date,hash,message,author_name,url
2020-03-31T17:13:20Z,e221ef203c8d21e6ef3f6847c076c915ba1d9788,"Add a -T flag to resize-pane to trim lines below the cursor, moving
lines out of the history. GitHub issue 2134.",nicm,https://github.com/tmux/tmux/commit/e221ef203c8d21e6ef3f6847c076c915ba1d9788
2020-03-31T17:13:20Z,e6cddcf752b335cb945bba4619b500b527cfee0a,"Add a -T flag to resize-pane to trim lines below the cursor, moving
lines out of the history. GitHub issue 2134.",nicm,https://github.com/tmux/tmux/commit/e6cddcf752b335cb945bba4619b500b527cfee0a
2020-03-31T16:53:23Z,e6d1b6770c14e401fc131e9bfa5a5d2068b9211f,"Add non-regex search variants to avoid the performance cost for people
with large histories or long lines.",nicm,https://github.com/tmux/tmux/commit/e6d1b6770c14e401fc131e9bfa5a5d2068b9211f
2020-03-31T16:53:23Z,2624edde46ad13995d4dd33f7d61fce74ac8f1ac,"Add non-regex search variants to avoid the performance cost for people
with large histories or long lines.",nicm,https://github.com/tmux/tmux/commit/2624edde46ad13995d4dd33f7d61fce74ac8f1ac
2020-03-31T15:01:29Z,0bb1a50b88ac319e8f499fa95500f373123594d1,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/0bb1a50b88ac319e8f499fa95500f373123594d1
2020-03-31T11:58:05Z,2ca95840d16e2292d3560ec30f4f24dc9e2eedb2,Add session_path from Chris Ruegge in GitHub issue 2142.,nicm,https://github.com/tmux/tmux/commit/2ca95840d16e2292d3560ec30f4f24dc9e2eedb2
2020-03-31T11:58:05Z,2a4714e76b3a85b3391b05413f36623bcb1493f9,Add session_path from Chris Ruegge in GitHub issue 2142.,nicm,https://github.com/tmux/tmux/commit/2a4714e76b3a85b3391b05413f36623bcb1493f9
2020-03-31T11:38:35Z,0dd4977d5c7a74e3d347076bf6db43e6f2281209,"Add a ""second click"" key type which is fired for the second click of a
double click, even if the timer hasn't expired to confirm it isn't
actually a triple click. Provides a way for people who don't care about
triple clicks or can make their commands have no side effects to avoid
the double click timer delay.",nicm,https://github.com/tmux/tmux/commit/0dd4977d5c7a74e3d347076bf6db43e6f2281209
2020-03-31T11:38:35Z,01b3bb8e2c695a7a32a332758e5a8f4a650fc98c,"Add a ""second click"" key type which is fired for the second click of a
double click, even if the timer hasn't expired to confirm it isn't
actually a triple click. Provides a way for people who don't care about
triple clicks or can make their commands have no side effects to avoid
the double click timer delay.",nicm,https://github.com/tmux/tmux/commit/01b3bb8e2c695a7a32a332758e5a8f4a650fc98c
2020-03-31T09:01:29Z,c9cd8f9b5dd030790b097263e7bf1674efabeb72,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/c9cd8f9b5dd030790b097263e7bf1674efabeb72
2020-03-31T07:00:34Z,3bbd66c0137fe95c348ce333ea7eec9507db7659,Move alternate screen into the screen rather than the pane.,nicm,https://github.com/tmux/tmux/commit/3bbd66c0137fe95c348ce333ea7eec9507db7659
2020-03-31T06:35:38Z,eedf059d00365efd763cb9d99835c91d31320956,Detach reply escape sequences from the pane so they work in popups.,nicm,https://github.com/tmux/tmux/commit/eedf059d00365efd763cb9d99835c91d31320956
2020-03-30T17:01:28Z,588865152a1bb70d77758b68a2869b794aa31dd4,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/588865152a1bb70d77758b68a2869b794aa31dd4
2020-03-30T16:16:48Z,1fb504d0d5c73c1a0a3585e02e1e3114a3194625,Tweak key numbers to avoid some special keys crossing over with modifier bits.,nicm,https://github.com/tmux/tmux/commit/1fb504d0d5c73c1a0a3585e02e1e3114a3194625
2020-03-30T15:49:23Z,34de379c7d29b22c5486f32a265ff47425e4860a,Add to rather than replace flags with -c.,nicm,https://github.com/tmux/tmux/commit/34de379c7d29b22c5486f32a265ff47425e4860a
2020-03-30T13:18:29Z,a46916b45250ef21d22d7a1fc1bb7a89bd0a3645,Tweak text.,Nicholas Marriott,https://github.com/tmux/tmux/commit/a46916b45250ef21d22d7a1fc1bb7a89bd0a3645
2020-03-30T13:17:58Z,df633c527decb594ab7c675c79cb74fbf7414d11,Add to CHANGES.,Nicholas Marriott,https://github.com/tmux/tmux/commit/df633c527decb594ab7c675c79cb74fbf7414d11
2020-03-30T11:01:25Z,aa264ae568207952b7ad8e29c084baf0fed8e3e5,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/aa264ae568207952b7ad8e29c084baf0fed8e3e5
2020-03-30T09:01:27Z,ecde339f59a72dbb32bd1b74d15eb1dfaef14659,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/ecde339f59a72dbb32bd1b74d15eb1dfaef14659
2020-03-30T07:42:44Z,c713b65b9e11f8d07475d7f0565044365095029f,Do not check flags after the popup struct has been freed.,nicm,https://github.com/tmux/tmux/commit/c713b65b9e11f8d07475d7f0565044365095029f
2020-03-30T07:42:44Z,586cafff0f2ce519eff97cda65dba77b2d45f84a,Do not check flags after the popup struct has been freed.,nicm,https://github.com/tmux/tmux/commit/586cafff0f2ce519eff97cda65dba77b2d45f84a
